HEADER
This file contains the velocity map parameters and stable surface errors for the glacier site described below.
Point of Contact: Jukes Liu; Boise State University; jukes.liu@gmail.com

Area of Interest = Sít' Kusá / Turner Glacier
"GeoTiff Extents: 546087.1269999999785796, 6641492.3026999998837709; 587687.1269999999785796, 6682892.3026999998837709"
EPSG:32607 (WGS84 / UTM Zone 7N)
Latitude: 60.06032
Longitude: -139.81862

Variables:
ds1 = first image date [yyyy-mm-dd]
ds2 = second image date [yyyy-mm-dd]
min_chip_size = cross-correlation chip size [meters]
"sat = satellite platform (S2 = Sentinel-2, LS = Landsat, PS = PlanetScope)"
dt_days= date separation between images [days]
data_percent = percentage of pixels within the glacier outline that contain data values [0 to 100]
err_vx = stable surface error for x-component of velocity [meters/year]
err_vy = stable surface error for y-component of velocity [meters/year]
err_v = stable surface error for speed [meters/year]
mid_date = date midpoint of the image pair [yyyy-mm-dd]
filename = name of the geotiff file containing the velocity maps

row, ds1, ds2, min_chip_size, sat, dt_days, data_percent, err_vx, err_vy, err_v, mid_date, filename
END HEADER
0,1/16/20 0:00,2/2/20 0:00,100,S2,17,39,77.59651033499999,64.70717409,101.0358194,1/24/20 0:00,NSIDC-0801_SK_20200116-20200202_vm_S2_V01.0.tif
1,2/2/20 0:00,3/6/20 0:00,100,S2,33,60,41.26681678,37.55489307,55.7971339,2/18/20 0:00,NSIDC-0801_SK_20200202-20200306_vm_S2_V01.0.tif
2,3/11/20 0:00,3/23/20 0:00,100,S2,12,82,95.91150187,60.56971549,113.4359147,3/17/20 0:00,NSIDC-0801_SK_20200311-20200323_vm_S2_V01.0.tif
3,4/10/20 0:00,4/17/20 0:00,100,S2,7,98,151.384918,69.41397428,166.54036514499998,4/13/20 0:00,NSIDC-0801_SK_20200410-20200417_vm_S2_V01.0.tif
4,4/25/20 0:00,5/2/20 0:00,100,S2,7,90,154.8743892,66.27936487,168.4607692,4/28/20 0:00,NSIDC-0801_SK_20200425-20200502_vm_S2_V01.0.tif
5,5/15/20 0:00,5/27/20 0:00,100,S2,12,93,84.44459289,69.24621590000001,109.2058961,5/21/20 0:00,NSIDC-0801_SK_20200515-20200527_vm_S2_V01.0.tif
6,5/27/20 0:00,6/4/20 0:00,100,S2,8,59,165.23788016499998,106.3107895,196.4829284,5/31/20 0:00,NSIDC-0801_SK_20200527-20200604_vm_S2_V01.0.tif
7,6/9/20 0:00,6/26/20 0:00,100,S2,17,82,60.16324127,36.54901658,70.39493003,6/17/20 0:00,NSIDC-0801_SK_20200609-20200626_vm_S2_V01.0.tif
8,7/1/20 0:00,7/16/20 0:00,100,S2,15,88,20.97078921,65.24820044500001,68.53540431500001,7/8/20 0:00,NSIDC-0801_SK_20200701-20200716_vm_S2_V01.0.tif
9,7/29/20 0:00,8/18/20 0:00,100,S2,20,70,12.26430076,18.53223041,22.22288521,8/8/20 0:00,NSIDC-0801_SK_20200729-20200818_vm_S2_V01.0.tif
10,8/18/20 0:00,9/4/20 0:00,100,S2,17,58,48.76920052,25.73292085,55.14180013,8/26/20 0:00,NSIDC-0801_SK_20200818-20200904_vm_S2_V01.0.tif
11,9/4/20 0:00,9/14/20 0:00,100,S2,10,86,28.72180949,32.43118732,43.32117548,9/9/20 0:00,NSIDC-0801_SK_20200904-20200914_vm_S2_V01.0.tif
12,9/14/20 0:00,9/24/20 0:00,100,S2,10,66,21.51605249,24.99476602,32.97997614,9/19/20 0:00,NSIDC-0801_SK_20200914-20200924_vm_S2_V01.0.tif
13,9/24/20 0:00,10/17/20 0:00,100,S2,23,32,60.72358453,33.63068792,69.41452908000001,10/5/20 0:00,NSIDC-0801_SK_20200924-20201017_vm_S2_V01.0.tif
14,2/4/21 0:00,2/11/21 0:00,100,S2,7,84,159.132754,137.5444571,210.3371367,2/7/21 0:00,NSIDC-0801_SK_20210204-20210211_vm_S2_V01.0.tif
15,4/15/21 0:00,4/22/21 0:00,100,S2,7,98,98.3218907,86.85866493,131.19307274000002,4/18/21 0:00,NSIDC-0801_SK_20210415-20210422_vm_S2_V01.0.tif
16,4/25/21 0:00,5/2/21 0:00,100,S2,7,98,37.80144875,32.084676030000004,49.58201245,4/28/21 0:00,NSIDC-0801_SK_20210425-20210502_vm_S2_V01.0.tif
17,5/5/21 0:00,5/17/21 0:00,100,S2,12,64,48.85430173,72.26960106,87.23323997,5/11/21 0:00,NSIDC-0801_SK_20210505-20210517_vm_S2_V01.0.tif
18,5/17/21 0:00,5/24/21 0:00,100,S2,7,32,51.05709644,62.25085731,80.51084627,5/20/21 0:00,NSIDC-0801_SK_20210517-20210524_vm_S2_V01.0.tif
19,5/24/21 0:00,6/1/21 0:00,100,S2,8,32,103.1070706,104.4774339,146.7876098,5/28/21 0:00,NSIDC-0801_SK_20210524-20210601_vm_S2_V01.0.tif
20,6/19/21 0:00,7/1/21 0:00,100,S2,12,76,52.06387047,100.4386429,113.130755,6/25/21 0:00,NSIDC-0801_SK_20210619-20210701_vm_S2_V01.0.tif
21,7/4/21 0:00,7/16/21 0:00,100,S2,12,98,22.66620435,36.01627609,42.55501128,7/10/21 0:00,NSIDC-0801_SK_20210704-20210716_vm_S2_V01.0.tif
22,7/19/21 0:00,7/29/21 0:00,100,S2,10,73,15.36929262,14.40506993,21.06469057,7/24/21 0:00,NSIDC-0801_SK_20210719-20210729_vm_S2_V01.0.tif
23,8/3/21 0:00,8/15/21 0:00,100,S2,12,96,19.70805054,101.8296528,103.7192629,8/9/21 0:00,NSIDC-0801_SK_20210803-20210815_vm_S2_V01.0.tif
24,8/15/21 0:00,8/30/21 0:00,100,S2,15,97,22.891901370000003,93.51394535,96.27511122,8/22/21 0:00,NSIDC-0801_SK_20210815-20210830_vm_S2_V01.0.tif
25,8/30/21 0:00,9/7/21 0:00,100,S2,8,98,33.68071847,36.063533,49.34540741,9/3/21 0:00,NSIDC-0801_SK_20210830-20210907_vm_S2_V01.0.tif
26,9/7/21 0:00,9/19/21 0:00,100,S2,12,90,22.94247285,35.39021422,42.17611099,9/13/21 0:00,NSIDC-0801_SK_20210907-20210919_vm_S2_V01.0.tif
27,9/22/21 0:00,10/4/21 0:00,100,S2,12,69,28.78613745,58.59751501,65.28637288,9/28/21 0:00,NSIDC-0801_SK_20210922-20211004_vm_S2_V01.0.tif
28,10/10/21 0:00,10/16/21 0:00,100,PS,6,88,289.4788672433452,334.3805691331898,442.2763606,10/13/21 0:00,NSIDC-0801_SK_20211010-20211016_vm_PS_V01.0.tif
29,5/25/21 0:00,6/2/21 0:00,100,PS,8,19,290.4191784,432.2433372170673,520.7471570309602,5/29/21 0:00,NSIDC-0801_SK_20210525-20210602_vm_PS_V01.0.tif
30,9/7/21 0:00,9/18/21 0:00,100,PS,11,51,134.7888604351083,158.76648630633073,208.2662578,9/12/21 12:00,NSIDC-0801_SK_20210907-20210918_vm_PS_V01.0.tif
31,2/24/20 0:00,3/6/20 0:00,100,PS,11,52,102.2064345151098,66.91136293,122.16090107570248,2/29/20 12:00,NSIDC-0801_SK_20200224-20200306_vm_PS_V01.0.tif
32,5/15/20 0:00,5/27/20 0:00,100,PS,12,69,120.67740609521016,150.33817457619188,192.78123195802957,5/21/20 0:00,NSIDC-0801_SK_20200515-20200527_vm_PS_V01.0.tif
33,3/13/21 0:00,3/28/21 0:00,100,PS,15,15,187.8809161,257.86120973763923,319.04802436683025,3/20/21 12:00,NSIDC-0801_SK_20210313-20210328_vm_PS_V01.0.tif
34,8/15/21 0:00,8/21/21 0:00,100,PS,6,84,180.493005,330.1241905,376.2442122895536,8/18/21 0:00,NSIDC-0801_SK_20210815-20210821_vm_PS_V01.0.tif
35,8/31/21 0:00,9/7/21 0:00,100,PS,7,43,259.95333141880826,178.14878779370466,315.1392155,9/3/21 12:00,NSIDC-0801_SK_20210831-20210907_vm_PS_V01.0.tif
36,10/4/21 0:00,10/10/21 0:00,100,PS,6,79,232.82267571608423,203.4779008759544,309.2081084,10/7/21 0:00,NSIDC-0801_SK_20211004-20211010_vm_PS_V01.0.tif
37,8/21/21 0:00,8/31/21 0:00,100,PS,10,61,226.7148508158193,216.2379795119296,313.3025490815835,8/26/21 0:00,NSIDC-0801_SK_20210821-20210831_vm_PS_V01.0.tif
38,11/10/20 0:00,11/16/20 0:00,100,PS,6,67,122.46017731255996,260.783114,288.1047158707849,11/13/20 0:00,NSIDC-0801_SK_20201110-20201116_vm_PS_V01.0.tif
39,4/4/20 0:00,4/11/20 0:00,100,PS,7,58,272.4579240905862,238.3253912553687,361.9838569690462,4/7/20 12:00,NSIDC-0801_SK_20200404-20200411_vm_PS_V01.0.tif
40,10/22/20 0:00,11/5/20 0:00,100,PS,14,54,133.61024698738024,299.1956848,327.67324557548375,10/29/20 0:00,NSIDC-0801_SK_20201022-20201105_vm_PS_V01.0.tif
41,8/5/20 0:00,8/19/20 0:00,100,PS,14,44,21.1781333,31.68300266,38.109395158714406,8/12/20 0:00,NSIDC-0801_SK_20200805-20200819_vm_PS_V01.0.tif
42,2/23/21 0:00,3/3/21 0:00,100,PS,8,76,188.40333867702307,60.14075038902876,197.7693804,2/27/21 0:00,NSIDC-0801_SK_20210223-20210303_vm_PS_V01.0.tif
43,1/31/21 0:00,2/7/21 0:00,100,PS,7,50,175.53622257681113,207.8444477,272.05198044852045,2/3/21 12:00,NSIDC-0801_SK_20210131-20210207_vm_PS_V01.0.tif
44,6/2/21 0:00,6/8/21 0:00,100,PS,6,58,192.89495347657055,151.6881437814093,245.3930646898286,6/5/21 0:00,NSIDC-0801_SK_20210602-20210608_vm_PS_V01.0.tif
45,9/4/20 0:00,9/11/20 0:00,100,PS,7,28,181.9225261827512,172.36100935673554,250.60750816092664,9/7/20 12:00,NSIDC-0801_SK_20200904-20200911_vm_PS_V01.0.tif
46,8/4/21 0:00,8/15/21 0:00,100,PS,11,62,87.69739819905259,106.52011673064996,137.9759723235617,8/9/21 12:00,NSIDC-0801_SK_20210804-20210815_vm_PS_V01.0.tif
47,2/13/20 0:00,2/24/20 0:00,100,PS,11,49,94.40929574018384,79.33500835702297,123.3173088546532,2/18/20 12:00,NSIDC-0801_SK_20200213-20200224_vm_PS_V01.0.tif
